,model,dataset,seed,bestmodel_train/F1_weighted,bestmodel_valid/F1_weighted,bestmodel_test/F1_weighted,xgb_eta,xgb_max_depth
0,xgboost,COIL20,1.0,1.0,0.9853900860088292,0.9860754985754984,0.10000000000000002,6.0
1,xgboost,Isolet,1.0,1.0,0.9028871890975451,0.8875277509558445,0.10000000000000002,9.0
2,xgboost,PBMC,1.0,0.9951765122043024,0.8987034458753915,0.8941720466079678,0.3,3.0
3,xgboost,USPS,1.0,1.0,0.9682505077432868,0.9736892584455153,0.3,3.0
4,xgboost,finance,1.0,0.8617446390054438,0.6347983609640853,0.5883108416247875,0.5,6.0
5,xgboost,madelon,1.0,1.0,0.8075898407435913,0.8096090476384199,0.10000000000000002,6.0
6,xgboost,mice_protein,1.0,1.0,0.9783424396866532,0.9814902014475101,0.3,3.0
7,xgboost,poly_binarised_decimalised_synth,1.0,0.9723104521955862,0.5046932996843515,0.5018406717119097,0.10000000000000002,9.0
