dataset,method,model,imputation,base_model,F1,missing_perc
finance,mnar,F-Act,,F-Act,0.5029858522447976,80.0
finance,mnar,F-Act,,F-Act,0.4407296821469357,90.0
USPS,mcar,F-Act,,F-Act,0.9637091929136078,0.0
USPS,mcar,F-Act,,F-Act,0.8935236057612779,20.0
USPS,mcar,F-Act,,F-Act,0.7568460278130195,40.0
USPS,mcar,F-Act,,F-Act,0.6575389839150484,50.0
USPS,mcar,F-Act,,F-Act,0.5359440439951425,60.0
USPS,mcar,F-Act,,F-Act,0.4005660081414612,70.0
USPS,mcar,F-Act,,F-Act,0.24407076630212596,80.0
USPS,mcar,F-Act,,F-Act,0.08040285754939969,90.0
USPS,mcar,F-Act,,F-Act,0.033075458096294655,95.0
USPS,mcar,F-Act,,F-Act,0.016539667586450313,98.0
USPS,mnar,F-Act,,F-Act,0.9530748458427214,0.0
USPS,mnar,F-Act,,F-Act,0.9553298449331578,10.0
USPS,mnar,F-Act,,F-Act,0.9574679875817772,20.0
USPS,mnar,F-Act,,F-Act,0.9609780122343593,30.000000000000004
USPS,mnar,F-Act,,F-Act,0.9607804849577974,40.0
USPS,mnar,F-Act,,F-Act,0.9559181680083578,50.0
USPS,mnar,F-Act,,F-Act,0.95535578391184,60.00000000000001
USPS,mnar,F-Act,,F-Act,0.9575498752084205,70.0
USPS,mnar,F-Act,,F-Act,0.9424012672091181,80.0
USPS,mnar,F-Act,,F-Act,0.6080733725318517,90.0
Isolet,mcar,F-Act,,F-Act,0.9116119708037678,0.0
Isolet,mcar,F-Act,,F-Act,0.858688994820335,20.0
Isolet,mcar,F-Act,,F-Act,0.8524857113778959,40.0
Isolet,mcar,F-Act,,F-Act,0.832667059748714,50.0
Isolet,mcar,F-Act,,F-Act,0.7179577463198819,60.0
Isolet,mcar,F-Act,,F-Act,0.6465482449018255,70.0
Isolet,mcar,F-Act,,F-Act,0.5221114325851319,80.0
Isolet,mcar,F-Act,,F-Act,0.3022860030304331,90.0
Isolet,mcar,F-Act,,F-Act,0.15318251512741643,95.0
Isolet,mcar,F-Act,,F-Act,0.06938013058084737,98.0
Isolet,mnar,F-Act,,F-Act,0.8703659865810359,0.0
Isolet,mnar,F-Act,,F-Act,0.8823675855252778,10.0
Isolet,mnar,F-Act,,F-Act,0.8834252391798201,20.0
Isolet,mnar,F-Act,,F-Act,0.902293935554019,30.000000000000004
Isolet,mnar,F-Act,,F-Act,0.8672544104564759,40.0
Isolet,mnar,F-Act,,F-Act,0.8575486867535396,50.0
Isolet,mnar,F-Act,,F-Act,0.8652746614560115,60.00000000000001
Isolet,mnar,F-Act,,F-Act,0.7967218293272058,70.0
Isolet,mnar,F-Act,,F-Act,0.7008801901003544,80.0
Isolet,mnar,F-Act,,F-Act,0.399273907020334,90.0
Isolet,mcar,F-Act,,F-Act,0.91333119931455,0.0
Isolet,mcar,F-Act,,F-Act,0.8590074158981298,20.0
Isolet,mcar,F-Act,,F-Act,0.8183811808669115,40.0
Isolet,mcar,F-Act,,F-Act,0.7597243803046364,50.0
Isolet,mcar,F-Act,,F-Act,0.7039833859745271,60.0
Isolet,mcar,F-Act,,F-Act,0.597575088956192,70.0
Isolet,mcar,F-Act,,F-Act,0.47287601613478947,80.0
Isolet,mcar,F-Act,,F-Act,0.24462718855113447,90.0
Isolet,mcar,F-Act,,F-Act,0.11049376545796824,95.0
Isolet,mcar,F-Act,,F-Act,0.04619983000219427,98.0
Isolet,mnar,F-Act,,F-Act,0.8983772548342667,0.0
Isolet,mnar,F-Act,,F-Act,0.8718647746792229,10.0
Isolet,mnar,F-Act,,F-Act,0.8848311477289238,20.0
Isolet,mnar,F-Act,,F-Act,0.8779449287102571,30.000000000000004
Isolet,mnar,F-Act,,F-Act,0.88162631879775,40.0
Isolet,mnar,F-Act,,F-Act,0.8550267947256207,50.0
Isolet,mnar,F-Act,,F-Act,0.8438061128173489,60.00000000000001
Isolet,mnar,F-Act,,F-Act,0.7558491218066867,70.0
Isolet,mnar,F-Act,,F-Act,0.6554275314824317,80.0
Isolet,mnar,F-Act,,F-Act,0.43494478561079664,90.0
Isolet,mcar,F-Act,,F-Act,0.9139164140520339,0.0
Isolet,mcar,F-Act,,F-Act,0.8793075404921218,20.0
Isolet,mcar,F-Act,,F-Act,0.7997012819846059,40.0
Isolet,mcar,F-Act,,F-Act,0.7506707609513494,50.0
Isolet,mcar,F-Act,,F-Act,0.6915417349799002,60.0
Isolet,mcar,F-Act,,F-Act,0.6131229881633573,70.0
Isolet,mcar,F-Act,,F-Act,0.46096585864567813,80.0
Isolet,mcar,F-Act,,F-Act,0.2887544285526762,90.0
Isolet,mcar,F-Act,,F-Act,0.09858433901580388,95.0
Isolet,mcar,F-Act,,F-Act,0.058531658313367874,98.0
Isolet,mnar,F-Act,,F-Act,0.8931583543396728,0.0
Isolet,mnar,F-Act,,F-Act,0.8983807663594174,10.0
Isolet,mnar,F-Act,,F-Act,0.922402081110931,20.0
Isolet,mnar,F-Act,,F-Act,0.9219711314549743,30.000000000000004
Isolet,mnar,F-Act,,F-Act,0.8854140305173366,40.0
Isolet,mnar,F-Act,,F-Act,0.8927588150144601,50.0
Isolet,mnar,F-Act,,F-Act,0.8629792759018177,60.00000000000001
Isolet,mnar,F-Act,,F-Act,0.8337772109777878,70.0
Isolet,mnar,F-Act,,F-Act,0.7161420519095644,80.0
Isolet,mnar,F-Act,,F-Act,0.4818613627310177,90.0
COIL20,mcar,F-Act,,F-Act,0.9960887611749681,0.0
COIL20,mcar,F-Act,,F-Act,0.9685954313310724,20.0
COIL20,mcar,F-Act,,F-Act,0.9368396022851859,40.0
COIL20,mcar,F-Act,,F-Act,0.9006359469074986,50.0
COIL20,mcar,F-Act,,F-Act,0.8104424783528981,60.0
COIL20,mcar,F-Act,,F-Act,0.7515074048311726,70.0
COIL20,mcar,F-Act,,F-Act,0.5554331655734966,80.0
COIL20,mcar,F-Act,,F-Act,0.23131175719160282,90.0
COIL20,mcar,F-Act,,F-Act,0.09581942538655296,95.0
COIL20,mcar,F-Act,,F-Act,0.04643165134286619,98.0
COIL20,mnar,F-Act,,F-Act,0.9841956811772685,0.0
COIL20,mnar,F-Act,,F-Act,0.9960788690476191,10.0
COIL20,mnar,F-Act,,F-Act,0.9921462660482625,20.0
COIL20,mnar,F-Act,,F-Act,0.9841527335910417,30.000000000000004
COIL20,mnar,F-Act,,F-Act,0.9841683201058201,40.0
COIL20,mnar,F-Act,,F-Act,0.9921825111749681,50.0
COIL20,mnar,F-Act,,F-Act,0.9919423491379311,60.00000000000001
COIL20,mnar,F-Act,,F-Act,0.9838134248288042,70.0
COIL20,mnar,F-Act,,F-Act,0.9960829741379311,80.0
COIL20,mnar,F-Act,,F-Act,0.9201304635362799,90.0
COIL20,mcar,F-Act,,F-Act,0.9719581328567347,0.0
COIL20,mcar,F-Act,,F-Act,0.9692136262992241,20.0
COIL20,mcar,F-Act,,F-Act,0.9520542084631525,40.0
COIL20,mcar,F-Act,,F-Act,0.8913290402347631,50.0
COIL20,mcar,F-Act,,F-Act,0.8793129074219561,60.0
COIL20,mcar,F-Act,,F-Act,0.7587994447665348,70.0
COIL20,mcar,F-Act,,F-Act,0.5843503778209387,80.0
COIL20,mcar,F-Act,,F-Act,0.284125606693573,90.0
COIL20,mcar,F-Act,,F-Act,0.1368902117970308,95.0
COIL20,mcar,F-Act,,F-Act,0.03695015001192023,98.0
COIL20,mnar,F-Act,,F-Act,0.9804014004676955,0.0
